Running: rez env usd-24.08 -- usdrecord --camera /root/camera01/GEO/renderCam_hrc/renderCam_buffer/renderCam_srt/renderCam --renderer "Prman" --purposes render   scenes/ALab/ALab/entry.usda "renderers/Prman/entry.jpg"
Warning: in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning: in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
Warning (secondary thread): in _ConvertNodes at line 563 of /home/nico/USD/third_party/renderman-26/plugin/hdPrman/material.cpp -- Unknown downstream property displacementbound:sphere
